question,question_hi,option_a,option_a_hi,option_b,option_b_hi,option_c,option_c_hi,option_d,option_d_hi,correct_answer,explanation,explanation_hi,subject,subject_hi,topic,topic_hi,difficulty,marks,negative_marks
What is the decimal equivalent of the binary number 1111?,द्विआधारी संख्या 1111 का दशमलव समतुल्य क्या है?,14,14,15,15,16,16,17,17,B,1111 in binary = 8+4+2+1 = 15 in decimal.,द्विआधारी में 1111 = 8+4+2+1 = दशमलव में 15.,Computer Science,कंप्यूटर विज्ञान,Number Systems,संख्या प्रणाली,Medium,1,0.25
What is the full form of ASCII?,ASCII का पूर्ण रूप क्या है?,American Standard Code for Information Interchange,American Standard Code for Information Interchange,American System Code for Information Interchange,American System Code for Information Interchange,American Standard Code for Internet Interchange,American Standard Code for Internet Interchange,American Standard Character for Information Interchange,American Standard Character for Information Interchange,A,"ASCII stands for American Standard Code for Information Interchange, a character encoding standard.","ASCII का अर्थ है American Standard Code for Information Interchange, एक कैरेक्टर एन्कोडिंग मानक.",Computer Science,कंप्यूटर विज्ञान,Number Systems,संख्या प्रणाली,Medium,1,0.25
1 Kilobyte (KB) is equal to how many bytes?,1 किलोबाइट (KB) कितने बाइट के बराबर होता है?,1000 bytes,1000 bytes,1024 bytes,1024 bytes,100 bytes,100 bytes,1048 bytes,1048 bytes,B,1 Kilobyte is equal to 1024 bytes (2^10).,1 किलोबाइट 1024 बाइट (2^10) के बराबर होता है.,Computer Science,कंप्यूटर विज्ञान,Number Systems,संख्या प्रणाली,Medium,1,0.25
Which of the following represents 1 Gigabyte?,निम्नलिखित में से कौन 1 गीगाबाइट को दर्शाता है?,1024 Bytes,1024 Bytes,1024 Kilobytes,1024 Kilobytes,1024 Megabytes,1024 Megabytes,1024 Terabytes,1024 Terabytes,C,1 Gigabyte equals 1024 Megabytes.,1 गीगाबाइट 1024 मेगाबाइट के बराबर होता है.,Computer Science,कंप्यूटर विज्ञान,Number Systems,संख्या प्रणाली,Easy,1,0.25
Which part of the computer is known as the brain of the computer?,कंप्यूटर के किस हिस्से को कंप्यूटर का मस्तिष्क कहा जाता है?,Monitor,Monitor,CPU,CPU,Keyboard,Keyboard,Mouse,Mouse,B,The CPU is known as the brain of the computer as it performs all processing.,CPU को कंप्यूटर का मस्तिष्क कहा जाता है क्योंकि यह सभी प्रोसेसिंग करता है.,Computer Science,कंप्यूटर विज्ञान,Computer Hardware,कंप्यूटर हार्डवेयर,Easy,1,0.25
Which of these is a pointing device?,इनमें से कौन सा एक पॉइंटिंग डिवाइस है?,Mouse,Mouse,Keyboard,Keyboard,Printer,Printer,Scanner,Scanner,A,A mouse is a pointing device used to interact with the graphical interface.,माउस एक पॉइंटिंग डिवाइस है जिसका उपयोग ग्राफिकल इंटरफेस के साथ बातचीत करने के लिए किया जाता है.,Computer Science,कंप्यूटर विज्ञान,Computer Hardware,कंप्यूटर हार्डवेयर,Easy,1,0.25
What does SSD stand for?,SSD का पूर्ण रूप क्या है?,Solid State Drive,Solid State Drive,Solid Storage Device,Solid Storage Device,Static State Drive,Static State Drive,Serial Storage Device,Serial Storage Device,A,"SSD stands for Solid State Drive, a storage device with no moving parts.","SSD का अर्थ है Solid State Drive, एक भंडारण उपकरण जिसमें कोई गतिशील भाग नहीं होता.",Computer Science,कंप्यूटर विज्ञान,Computer Hardware,कंप्यूटर हार्डवेयर,Medium,1,0.25
Which device converts analog signals to digital signals?,कौन सा उपकरण एनालॉग संकेतों को डिजिटल संकेतों में परिवर्तित करता है?,Modem,Modem,Printer,Printer,Monitor,Monitor,Speaker,Speaker,A,A modem converts analog signals to digital and vice versa for data transmission.,मॉडेम डेटा ट्रांसमिशन के लिए एनालॉग संकेतों को डिजिटल में और इसके विपरीत परिवर्तित करता है.,Computer Science,कंप्यूटर विज्ञान,Computer Hardware,कंप्यूटर हार्डवेयर,Medium,1,0.25
Which of the following is a type of computer memory that is faster than RAM?,निम्नलिखित में से कौन सी कंप्यूटर मेमोरी RAM से तेज़ है?,Cache Memory,Cache Memory,Hard Disk,Hard Disk,Floppy Disk,Floppy Disk,CD-ROM,CD-ROM,A,Cache memory is faster than RAM and stores frequently accessed data for quick retrieval.,कैश मेमोरी RAM से तेज़ होती है और बार-बार एक्सेस किए जाने वाले डेटा को त्वरित पुनर्प्राप्ति के लिए संग्रहीत करती है.,Computer Science,कंप्यूटर विज्ञान,Computer Hardware,कंप्यूटर हार्डवेयर,Medium,1,0.25
Which part of the CPU performs arithmetic and logical operations?,CPU का कौन सा भाग अंकगणितीय और तार्किक संचालन करता है?,Control Unit,Control Unit,ALU (Arithmetic Logic Unit),ALU (Arithmetic Logic Unit),Cache Memory,Cache Memory,Register,Register,B,The ALU (Arithmetic Logic Unit) performs all arithmetic and logical operations in the CPU.,ALU (अंकगणित तर्क इकाई) CPU में सभी अंकगणितीय और तार्किक संचालन करता है.,Computer Science,कंप्यूटर विज्ञान,Computer Hardware,कंप्यूटर हार्डवेयर,Medium,1,0.25
What is the function of the motherboard in a computer?,कंप्यूटर में मदरबोर्ड का कार्य क्या है?,To display output,आउटपुट प्रदर्शित करना,To connect all hardware components together,सभी हार्डवेयर घटकों को एक साथ जोड़ना,To store data permanently,डेटा को स्थायी रूप से संग्रहीत करना,To print documents,दस्तावेज़ प्रिंट करना,B,The motherboard is the main circuit board that connects all hardware components of a computer.,मदरबोर्ड मुख्य सर्किट बोर्ड है जो कंप्यूटर के सभी हार्डवेयर घटकों को जोड़ता है.,Computer Science,कंप्यूटर विज्ञान,Computer Hardware,कंप्यूटर हार्डवेयर,Medium,1,0.25
Which device is used to convert printed text into digital format?,मुद्रित पाठ को डिजिटल प्रारूप में बदलने के लिए किस उपकरण का उपयोग किया जाता है?,Scanner,Scanner,Printer,Printer,Plotter,Plotter,Projector,Projector,A,A scanner converts printed or physical documents into digital format.,स्कैनर मुद्रित या भौतिक दस्तावेज़ों को डिजिटल प्रारूप में परिवर्तित करता है.,Computer Science,कंप्यूटर विज्ञान,Computer Hardware,कंप्यूटर हार्डवेयर,Easy,1,0.25
Which of the following is an example of an operating system?,निम्नलिखित में से कौन सा एक ऑपरेटिंग सिस्टम का उदाहरण है?,MS Word,MS Word,Windows,Windows,Photoshop,Photoshop,Excel,Excel,B,"Windows is an operating system, while the others are application software.","विंडोज एक ऑपरेटिंग सिस्टम है, जबकि अन्य एप्लिकेशन सॉफ्टवेयर हैं.",Computer Science,कंप्यूटर विज्ञान,Computer Software,कंप्यूटर सॉफ्टवेयर,Easy,1,0.25
Which type of software controls the internal operations of a computer?,किस प्रकार का सॉफ्टवेयर कंप्यूटर के आंतरिक संचालन को नियंत्रित करता है?,Application Software,एप्लिकेशन सॉफ्टवेयर,System Software,सिस्टम सॉफ्टवेयर,Utility Software,यूटिलिटी सॉफ्टवेयर,Firmware,फर्मवेयर,B,"System software, like the operating system, manages and controls computer hardware and operations.","सिस्टम सॉफ्टवेयर, जैसे ऑपरेटिंग सिस्टम, कंप्यूटर हार्डवेयर और संचालन का प्रबंधन और नियंत्रण करता है.",Computer Science,कंप्यूटर विज्ञान,Computer Software,कंप्यूटर सॉफ्टवेयर,Medium,1,0.25
Which of the following is an open-source operating system?,निम्नलिखित में से कौन सा एक ओपन-सोर्स ऑपरेटिंग सिस्टम है?,Windows,Windows,macOS,macOS,Linux,Linux,iOS,iOS,C,Linux is a free and open-source operating system.,लिनक्स एक मुफ्त और ओपन-सोर्स ऑपरेटिंग सिस्टम है.,Computer Science,कंप्यूटर विज्ञान,Computer Software,कंप्यूटर सॉफ्टवेयर,Medium,1,0.25
What is the primary function of an operating system?,ऑपरेटिंग सिस्टम का प्राथमिक कार्य क्या है?,To manage computer hardware and software resources,कंप्यूटर हार्डवेयर और सॉफ्टवेयर संसाधनों का प्रबंधन करना,To create documents,दस्तावेज़ बनाना,To browse the internet,इंटरनेट ब्राउज़ करना,To play games,खेल खेलना,A,An operating system manages hardware and software resources and provides services for computer programs.,ऑपरेटिंग सिस्टम हार्डवेयर और सॉफ्टवेयर संसाधनों का प्रबंधन करता है और कंप्यूटर प्रोग्रामों के लिए सेवाएं प्रदान करता है.,Computer Science,कंप्यूटर विज्ञान,Computer Software,कंप्यूटर सॉफ्टवेयर,Easy,1,0.25
Which of these is an example of application software?,इनमें से कौन सा एप्लिकेशन सॉफ्टवेयर का उदाहरण है?,Windows OS,Windows OS,Device Driver,Device Driver,MS PowerPoint,MS PowerPoint,BIOS,BIOS,C,MS PowerPoint is application software used for creating presentations.,MS पावरपॉइंट एक एप्लिकेशन सॉफ्टवेयर है जिसका उपयोग प्रस्तुतियाँ बनाने के लिए किया जाता है.,Computer Science,कंप्यूटर विज्ञान,Computer Software,कंप्यूटर सॉफ्टवेयर,Easy,1,0.25
What is BIOS used for?,BIOS का उपयोग किसके लिए किया जाता है?,To initialize hardware during the booting process,बूटिंग प्रक्रिया के दौरान हार्डवेयर को प्रारंभ करना,To browse the internet,इंटरनेट ब्राउज़ करना,To edit documents,दस्तावेज़ संपादित करना,To play music,संगीत बजाना,A,BIOS (Basic Input Output System) initializes and tests hardware components during the boot process.,BIOS (Basic Input Output System) बूट प्रक्रिया के दौरान हार्डवेयर घटकों को प्रारंभ और परीक्षण करता है.,Computer Science,कंप्यूटर विज्ञान,Computer Software,कंप्यूटर सॉफ्टवेयर,Medium,1,0.25
Which of the following is a type of system software?,निम्नलिखित में से कौन सा सिस्टम सॉफ्टवेयर का एक प्रकार है?,Device Driver,Device Driver,Web Browser,वेब ब्राउज़र,Word Processor,वर्ड प्रोसेसर,Spreadsheet,स्प्रेडशीट,A,Device drivers are system software that allow the OS to communicate with hardware devices.,डिवाइस ड्राइवर सिस्टम सॉफ्टवेयर हैं जो OS को हार्डवेयर उपकरणों के साथ संवाद करने की अनुमति देते हैं.,Computer Science,कंप्यूटर विज्ञान,Computer Software,कंप्यूटर सॉफ्टवेयर,Medium,1,0.25
What is the process of starting or restarting a computer called?,कंप्यूटर को शुरू या पुनः आरंभ करने की प्रक्रिया को क्या कहा जाता है?,Booting,Booting,Formatting,Formatting,Compiling,Compiling,Debugging,Debugging,A,Booting is the process of starting up a computer and loading the operating system.,बूटिंग कंप्यूटर को शुरू करने और ऑपरेटिंग सिस्टम को लोड करने की प्रक्रिया है.,Computer Science,कंप्यूटर विज्ञान,Computer Software,कंप्यूटर सॉफ्टवेयर,Easy,1,0.25
Which of the following is NOT an operating system?,निम्नलिखित में से कौन सा ऑपरेटिंग सिस्टम नहीं है?,Windows,Windows,Linux,Linux,Oracle,Oracle,macOS,macOS,C,"Oracle is a database management system, not an operating system.","Oracle एक डेटाबेस प्रबंधन प्रणाली है, ऑपरेटिंग सिस्टम नहीं.",Computer Science,कंप्यूटर विज्ञान,Computer Software,कंप्यूटर सॉफ्टवेयर,Medium,1,0.25
What is the term for software that is illegally copied or distributed?,अवैध रूप से कॉपी या वितरित सॉफ्टवेयर के लिए क्या शब्द है?,Freeware,Freeware,Shareware,Shareware,Pirated Software,पायरेटेड सॉफ्टवेयर,Open Source,ओपन सोर्स,C,"Pirated software refers to software that is illegally copied, distributed, or used.","पायरेटेड सॉफ्टवेयर उस सॉफ्टवेयर को संदर्भित करता है जिसे अवैध रूप से कॉपी, वितरित या उपयोग किया जाता है.",Computer Science,कंप्यूटर विज्ञान,Computer Software,कंप्यूटर सॉफ्टवेयर,Medium,1,0.25
Which of the following is a high-level programming language?,निम्नलिखित में से कौन सी एक उच्च-स्तरीय प्रोग्रामिंग भाषा है?,Assembly Language,Assembly Language,Machine Language,Machine Language,Python,Python,Binary Code,Binary Code,C,Python is a high-level programming language that is easy to read and write.,पायथन एक उच्च-स्तरीय प्रोग्रामिंग भाषा है जिसे पढ़ना और लिखना आसान है.,Computer Science,कंप्यूटर विज्ञान,Programming Concepts,प्रोग्रामिंग अवधारणाएं,Easy,1,0.25
Which of the following is used to convert high-level language into machine language?,निम्नलिखित में से किसका उपयोग उच्च-स्तरीय भाषा को मशीनी भाषा में बदलने के लिए किया जाता है?,Compiler,Compiler,Monitor,Monitor,Printer,Printer,Scanner,Scanner,A,A compiler translates high-level programming language code into machine language.,एक कंपाइलर उच्च-स्तरीय प्रोग्रामिंग भाषा कोड को मशीनी भाषा में अनुवादित करता है.,Computer Science,कंप्यूटर विज्ञान,Programming Concepts,प्रोग्रामिंग अवधारणाएं,Medium,1,0.25
Which programming language is primarily used for web page structure?,वेब पेज संरचना के लिए मुख्य रूप से किस प्रोग्रामिंग भाषा का उपयोग किया जाता है?,HTML,HTML,Python,Python,C++,C++,Java,Java,A,HTML (HyperText Markup Language) is used to structure content on web pages.,HTML (HyperText Markup Language) का उपयोग वेब पेजों पर सामग्री की संरचना के लिए किया जाता है.,Computer Science,कंप्यूटर विज्ञान,Programming Concepts,प्रोग्रामिंग अवधारणाएं,Easy,1,0.25
What does OOP stand for in programming?,प्रोग्रामिंग में OOP का पूर्ण रूप क्या है?,Object Oriented Programming,Object Oriented Programming,Output Oriented Programming,Output Oriented Programming,Object Output Programming,Object Output Programming,Operation Oriented Programming,Operation Oriented Programming,A,"OOP stands for Object Oriented Programming, a paradigm based on objects and classes.","OOP का अर्थ है Object Oriented Programming, जो ऑब्जेक्ट और क्लास पर आधारित एक प्रतिमान है.",Computer Science,कंप्यूटर विज्ञान,Programming Concepts,प्रोग्रामिंग अवधारणाएं,Medium,1,0.25
Which of the following is NOT a programming language?,निम्नलिखित में से कौन सी प्रोग्रामिंग भाषा नहीं है?,Java,Java,Python,Python,HTTP,HTTP,C++,C++,C,"HTTP (HyperText Transfer Protocol) is a communication protocol, not a programming language.","HTTP (HyperText Transfer Protocol) एक संचार प्रोटोकॉल है, प्रोग्रामिंग भाषा नहीं.",Computer Science,कंप्यूटर विज्ञान,Programming Concepts,प्रोग्रामिंग अवधारणाएं,Medium,1,0.25
What is an algorithm?,एल्गोरिथ्म क्या है?,A step-by-step procedure to solve a problem,किसी समस्या को हल करने की चरण-दर-चरण प्रक्रिया,A type of hardware,एक प्रकार का हार्डवेयर,A programming language,एक प्रोग्रामिंग भाषा,A type of virus,एक प्रकार का वायरस,A,"An algorithm is a well-defined, step-by-step procedure for solving a problem.","एल्गोरिथ्म किसी समस्या को हल करने के लिए एक अच्छी तरह से परिभाषित, चरण-दर-चरण प्रक्रिया है.",Computer Science,कंप्यूटर विज्ञान,Programming Concepts,प्रोग्रामिंग अवधारणाएं,Easy,1,0.25
Which symbol is used to denote a comment in Python?,पायथन में टिप्पणी को दर्शाने के लिए किस प्रतीक का उपयोग किया जाता है?,//,//,#,#,/* */,/* */,--,--,B,"In Python, the hash symbol (#) is used to write a single-line comment.","पायथन में, हैश प्रतीक (#) का उपयोग एकल-पंक्ति टिप्पणी लिखने के लिए किया जाता है.",Computer Science,कंप्यूटर विज्ञान,Programming Concepts,प्रोग्रामिंग अवधारणाएं,Easy,1,0.25
What is a variable in programming?,प्रोग्रामिंग में वेरिएबल क्या है?,A named storage location for data,डेटा के लिए एक नामित भंडारण स्थान,A type of loop,एक प्रकार का लूप,A type of function,एक प्रकार का फंक्शन,A programming error,एक प्रोग्रामिंग त्रुटि,A,A variable is a named storage location in memory used to hold data that can change during program execution.,एक वेरिएबल मेमोरी में एक नामित भंडारण स्थान है जिसका उपयोग डेटा को रखने के लिए किया जाता है जो प्रोग्राम निष्पादन के दौरान बदल सकता है.,Computer Science,कंप्यूटर विज्ञान,Programming Concepts,प्रोग्रामिंग अवधारणाएं,Easy,1,0.25
Which loop is guaranteed to execute at least once?,कौन सा लूप कम से कम एक बार निष्पादित होने की गारंटी देता है?,for loop,for loop,while loop,while loop,do-while loop,do-while loop,nested loop,nested loop,C,"A do-while loop checks the condition after executing the loop body, so it runs at least once.","do-while लूप लूप बॉडी को निष्पादित करने के बाद शर्त की जांच करता है, इसलिए यह कम से कम एक बार चलता है.",Computer Science,कंप्यूटर विज्ञान,Programming Concepts,प्रोग्रामिंग अवधारणाएं,Medium,1,0.25
Which programming language is known as the mother of all languages?,किस प्रोग्रामिंग भाषा को सभी भाषाओं की जननी कहा जाता है?,Java,Java,Python,Python,C,C,C++,C++,C,The C programming language is often referred to as the mother of all languages due to its influence on many later languages.,C प्रोग्रामिंग भाषा को अक्सर सभी भाषाओं की जननी कहा जाता है क्योंकि इसने कई बाद की भाषाओं को प्रभावित किया.,Computer Science,कंप्यूटर विज्ञान,Programming Concepts,प्रोग्रामिंग अवधारणाएं,Medium,1,0.25
What does WWW stand for?,WWW का पूर्ण रूप क्या है?,World Wide Web,World Wide Web,World Web Wide,World Web Wide,Wide World Web,Wide World Web,World Wide Wire,World Wide Wire,A,"WWW stands for World Wide Web, a system of interlinked web pages.","WWW का अर्थ है World Wide Web, आपस में जुड़े वेब पेजों की एक प्रणाली.",Computer Science,कंप्यूटर विज्ञान,Internet and Networking,इंटरनेट और नेटवर्किंग,Easy,1,0.25
What does HTTP stand for?,HTTP का पूर्ण रूप क्या है?,HyperText Transfer Protocol,HyperText Transfer Protocol,High Text Transfer Protocol,High Text Transfer Protocol,HyperText Transmission Protocol,HyperText Transmission Protocol,Hyper Transfer Text Protocol,Hyper Transfer Text Protocol,A,"HTTP stands for HyperText Transfer Protocol, used for transferring web pages.","HTTP का अर्थ है HyperText Transfer Protocol, जिसका उपयोग वेब पेज स्थानांतरित करने के लिए किया जाता है.",Computer Science,कंप्यूटर विज्ञान,Internet and Networking,इंटरनेट और नेटवर्किंग,Easy,1,0.25
What is the full form of URL?,URL का पूर्ण रूप क्या है?,Uniform Resource Locator,Uniform Resource Locator,Universal Resource Locator,Universal Resource Locator,Uniform Resource Link,Uniform Resource Link,Universal Reference Locator,Universal Reference Locator,A,"URL stands for Uniform Resource Locator, the address of a resource on the internet.","URL का अर्थ है Uniform Resource Locator, इंटरनेट पर किसी संसाधन का पता.",Computer Science,कंप्यूटर विज्ञान,Internet and Networking,इंटरनेट और नेटवर्किंग,Easy,1,0.25
Which protocol is used to send emails?,ईमेल भेजने के लिए किस प्रोटोकॉल का उपयोग किया जाता है?,HTTP,HTTP,FTP,FTP,SMTP,SMTP,SNMP,SNMP,C,SMTP (Simple Mail Transfer Protocol) is used to send emails over the internet.,SMTP (Simple Mail Transfer Protocol) का उपयोग इंटरनेट पर ईमेल भेजने के लिए किया जाता है.,Computer Science,कंप्यूटर विज्ञान,Internet and Networking,इंटरनेट और नेटवर्किंग,Medium,1,0.25
What is the full form of LAN?,LAN का पूर्ण रूप क्या है?,Local Area Network,Local Area Network,Large Area Network,Large Area Network,Local Access Network,Local Access Network,Long Area Network,Long Area Network,A,"LAN stands for Local Area Network, a network within a small geographic area.","LAN का अर्थ है Local Area Network, एक छोटे भौगोलिक क्षेत्र के भीतर एक नेटवर्क.",Computer Science,कंप्यूटर विज्ञान,Internet and Networking,इंटरनेट और नेटवर्किंग,Easy,1,0.25
What is the full form of WAN?,WAN का पूर्ण रूप क्या है?,Wide Area Network,Wide Area Network,World Area Network,World Area Network,Wireless Area Network,Wireless Area Network,Web Area Network,Web Area Network,A,"WAN stands for Wide Area Network, spanning a large geographic area.","WAN का अर्थ है Wide Area Network, जो एक बड़े भौगोलिक क्षेत्र में फैला होता है.",Computer Science,कंप्यूटर विज्ञान,Internet and Networking,इंटरनेट और नेटवर्किंग,Easy,1,0.25
Which device is used to connect multiple networks together?,एकाधिक नेटवर्क को एक साथ जोड़ने के लिए किस उपकरण का उपयोग किया जाता है?,Router,Router,Mouse,Mouse,Keyboard,Keyboard,Monitor,Monitor,A,A router connects multiple networks and directs data packets between them.,एक राउटर एकाधिक नेटवर्क को जोड़ता है और उनके बीच डेटा पैकेट को निर्देशित करता है.,Computer Science,कंप्यूटर विज्ञान,Internet and Networking,इंटरनेट और नेटवर्किंग,Medium,1,0.25
What is the full form of IP in IP address?,IP पते में IP का पूर्ण रूप क्या है?,Internet Protocol,Internet Protocol,Internal Protocol,Internal Protocol,Internet Provider,Internet Provider,Internet Process,Internet Process,A,"IP stands for Internet Protocol, used to identify devices on a network.","IP का अर्थ है Internet Protocol, जिसका उपयोग नेटवर्क पर उपकरणों की पहचान के लिए किया जाता है.",Computer Science,कंप्यूटर विज्ञान,Internet and Networking,इंटरनेट और नेटवर्किंग,Medium,1,0.25
Which of the following is a web browser?,निम्नलिखित में से कौन सा एक वेब ब्राउज़र है?,Google Chrome,Google Chrome,MS Word,MS Word,MS Excel,MS Excel,Photoshop,Photoshop,A,Google Chrome is a web browser used to access and view websites.,गूगल क्रोम एक वेब ब्राउज़र है जिसका उपयोग वेबसाइटों तक पहुंचने और देखने के लिए किया जाता है.,Computer Science,कंप्यूटर विज्ञान,Internet and Networking,इंटरनेट और नेटवर्किंग,Easy,1,0.25
What is the term for unsolicited commercial email?,अवांछित व्यावसायिक ईमेल के लिए क्या शब्द है?,Spam,Spam,Phishing,Phishing,Malware,Malware,Cookie,Cookie,A,"Spam refers to unsolicited, often commercial, messages sent in bulk via email.","स्पैम अवांछित, अक्सर व्यावसायिक, संदेशों को संदर्भित करता है जो ईमेल के माध्यम से थोक में भेजे जाते हैं.",Computer Science,कंप्यूटर विज्ञान,Internet and Networking,इंटरनेट और नेटवर्किंग,Medium,1,0.25
What does DBMS stand for?,DBMS का पूर्ण रूप क्या है?,Database Management System,Database Management System,Data Backup Management System,Data Backup Management System,Database Maintenance System,Database Maintenance System,Data Base Monitoring System,Data Base Monitoring System,A,"DBMS stands for Database Management System, software used to manage databases.","DBMS का अर्थ है Database Management System, जो डेटाबेस प्रबंधित करने के लिए सॉफ्टवेयर है.",Computer Science,कंप्यूटर विज्ञान,Database,डेटाबेस,Easy,1,0.25
