question,question_hi,option_a,option_a_hi,option_b,option_b_hi,option_c,option_c_hi,option_d,option_d_hi,correct_answer,explanation,explanation_hi,subject,subject_hi,topic,topic_hi,difficulty,marks,negative_marks
"In a certain code language, 'TAKE' is written as 'GZPV' and 'GIVE' is written as 'TREV'. How will 'FOUND' be written in the same language?","एक निश्चित कूट भाषा में, 'TAKE' को 'GZPV' लिखा जाता है और 'GIVE' को 'TREV' लिखा जाता है। उसी भाषा में 'FOUND' को कैसे लिखा जाएगा?",LUFNX,LUFNX,LUFWM,LUFWM,ULFNX,ULFNX,ULFMW,ULFMW,option_d,,,Computer Science and Information Technology,कंप्यूटर विज्ञान और सूचना प्रौद्योगिकी,,,,,
"Select the correct combination of mathematical signs to replace the * signs and balance the given equation.
141 * 183 * (188 * 4)* 26 * (3 * 7)","* चिह्नों को प्रतिस्थापित करने और दिए गए समीकरण को संतुलित करने के लिए गणितीय चिह्नों के सही संयोजन का चयन कीजिये।
141 * 183 * (188 * 4)* 26 * (3 * 7)","−, +, ÷, =, −, ×","−, +, ÷, =, −, ×","+, −, ×, =, −, +","+, −, ×, =, −, +","÷, +, −, =, −, ×","÷, +, −, =, −, ×","−, −, ×, +, ÷, +","−, −, ×, +, ÷, +",option_a,,,Computer Science and Information Technology,कंप्यूटर विज्ञान और सूचना प्रौद्योगिकी,,,,,
"Which of the following options represents the correct order of the given words as they appear in an English dictionary?
1. Axion
2. Awful
3. Avail
4. Audio
5. Above","निम्नलिखित में से कौन-सा विकल्प दिए गए शब्दों के उस सही क्रम का प्रतिनिधित्व करता है, जिस क्रम में वे अंग्रेजी शब्दकोश में दिखाई देते हैं?
1. Axion
2. Awful
3. Avail
4. Audio
5. Above","5, 4, 3, 2, 1","5, 4, 3, 2, 1","5, 3, 2, 4, 1","5, 3, 2, 4, 1","4, 5, 2, 3, 1","4, 5, 2, 3, 1","4, 5, 2, 1, 3","4, 5, 2, 1, 3",option_a,,,Computer Science and Information Technology,कंप्यूटर विज्ञान और सूचना प्रौद्योगिकी,,,,,
"‘A + B’ means ‘A is the brother of B’
‘A − B’ means ‘A is the mother of B’
‘A × B’ means ‘A is the husband of B’
‘A ÷ B’ means ‘A is the sister of B’
If P ÷ G x R - H + E ÷ N, which of the following statements is NOT correct?","‘A + B’ का तात्पर्य है ‘A, B का भाई है’
‘A − B’ का तात्पर्य है ‘A, B की माँ है’
‘A × B’ का तात्पर्य है ‘A, B का पति है’
‘A ÷ B’ का तात्पर्य है ‘A, B की बहन है’
यदि P ÷ G x R - H + E ÷ N है, तो निम्नलिखित में से कौन-सा कथन सही नहीं है?",G is the father of N.,"G, N के पिता है।",R is the husband of P's sister.,"R, P की बहन का पति है।",E is the sister of H.,"E, H की बहन है।",P is the sister of H's father.,"P, H के पिता की बहन है।",option_b,,,Computer Science and Information Technology,कंप्यूटर विज्ञान और सूचना प्रौद्योगिकी,,,,,
"Which of the numbers given below will replace the question mark (?) in the following series?
59, 118, 94, 188, ?, 328, 304","निम्नलिखित श्रृंखला में प्रश्न-चिह्न (?) के स्थान पर नीचे दी गई संख्याओं में से कौन-सी संख्या आएगी?
59, 118, 94, 188, ?, 328, 304",184,184,154,154,166,166,164,164,option_d,,,Computer Science and Information Technology,कंप्यूटर विज्ञान और सूचना प्रौद्योगिकी,,,,,
"Which two signs and two numbers should be interchanged to make the following equation correct?
25683 + 21748 = 51212 − 98643","निम्नलिखित समीकरण को सही करने के लिए इसके किन दो चिह्नों और दो संख्याओं को आपस में बदला जाना चाहिए?
25683 + 21748 = 51212 − 98643","98643 and 25683, − and =","98643 और 25683, − और =","21748 and 98643, + and −","21748 और 98643, + और −","98643 and 25683, + and −","98643 और 25683, + और −","98643 and 25683, + and =","98643 और 25683, + और =",option_c,,,Computer Science and Information Technology,कंप्यूटर विज्ञान और सूचना प्रौद्योगिकी,,,,,
Select the correct mirror image of the given figure when the mirror is placed to the right of the figure.,"दर्पण को आकृति के दाईं ओर रखे जाने पर, दी गई आकृति का सही दर्पण प्रतिबिंब चयन करें।",@image,@image,@image,@image,@image,@image,@image,@image,option_d,,,Computer Science and Information Technology,कंप्यूटर विज्ञान और सूचना प्रौद्योगिकी,,,,,
"Amit, Sonu, Vipin, Rahul, Himanshi, Akshay and Ayush sit around a circle facing the centre. Ayush is second to the left of Vipin, who is immediately to the left of Akshay. Amit is third to the left of Himanshi. Sonu is between Rahul and Himanshi. Who is immediately to the left of Akshay?","अमित, सोनू, विपिन, राहुल, हिमांशी, अक्षय और आयुष एक वृत्त के परितः केंद्र की ओर मुख करके बैठे हैं। आयुष, विपिन के बाईं ओर दूसरे स्थान पर है, जो अक्षय के बाईं ओर बगल में है। अमित, हिमांशी के बाईं ओर तीसरे स्थान पर है। सोनू, राहुल और हिमांशी के बीच में है। अक्षय के बाईं ओर बगल में कौन है?",Vipin,विपिन,Amit,अमित,Himanshi,हिमांशी,Ayush,आयुष,option_a,,,Computer Science and Information Technology,कंप्यूटर विज्ञान और सूचना प्रौद्योगिकी,,,,,
Select the figure from the following options that will replace the question mark (?) to complete the given pattern.,निम्नलिखित विकल्पों में से उस आकृति का चयन कीजिए जो प्रश्नवाचक चिह्न (?) को प्रतिस्थापित करते हुए दिए गए पैटर्न को पूरा करेगी।,@image,@image,@image,@image,@image,@image,@image,@image,option_d,,,Computer Science and Information Technology,कंप्यूटर विज्ञान और सूचना प्रौद्योगिकी,,,,,
"If, in ΔABC, ∠A = 4∠B = ∠C, then ∠B + ∠C = ?","यदि, ΔABC में, ∠A = 4∠B = ∠C है तो ∠B+∠C= ?",60°,60°,100°,100°,80°,80°,40°,40°,option_b,,,Computer Science and Information Technology,कंप्यूटर विज्ञान और सूचना प्रौद्योगिकी,,,,,
"By which number should the fourth proportional to 6, 8 and 24 be multiplied to obtain the third proportional to 16 and 32?","16 और 32 का तृतीयानुपाती ज्ञात करने के लिए, 6, 8 और 24 के चतुर्थानुपाती को किस संख्या से गुणा किया जाना चाहिए?",5,5,4,4,2,2,3,3,option_c,,,Computer Science and Information Technology,कंप्यूटर विज्ञान और सूचना प्रौद्योगिकी,,,,,
"A can complete 2/3 of a work in 10 days, while B can complete 1/5 of the same work in 6 days. A and B working together can complete the work in _____ days.","A 10 दिन में काम का 2/3 भाग पूरा कर सकता है, जबकि B उसी काम का 1/5वां भाग 6 दिन में पूरा कर सकता है। A और B एक साथ कार्य करते हुए काम _____में पूरा कर सकते हैं।",10 days,10 दिन,11 days,11 दिन,12 days,12 दिन,9 days,9 दिन,option_a,,,Computer Science and Information Technology,कंप्यूटर विज्ञान और सूचना प्रौद्योगिकी,,,,,
"The difference between two numbers is 6 and the sum of the squares of these numbers is 1476. If the least common multiple (LCM) of these two numbers is 120, what will be their highest common factor (HCF)?","दो संख्याओं का अंतर 6 है और इन संख्याओं के वर्गों का योग 1476 है। यदि इन दोनों संख्याओं का लघुत्तम समापवर्त्य (LCM) 120 है, तो उनका महत्तम समापवर्तक (HCF) क्या होगा?",6,6,12,12,10,10,8,8,option_a,,,Computer Science and Information Technology,कंप्यूटर विज्ञान और सूचना प्रौद्योगिकी,,,,,
"Study the following bar graph carefully and answer the question given below.
The following bar graph shows the sales of Bluetooth earphones on online marketplace platforms during different years.
If sales increase by 20% from 2021 to 2022, find the average sales for the five-year period 2018-2022.","निम्नलिखित बार ग्राफ का ध्यानपूर्वक अध्ययन करें और नीचे दिए गए प्रश्न का उत्तर दें।
निम्नलिखित बार ग्राफ विभिन्न वर्षों के दौरान ऑनलाइन बाजार स्थानों पर ब्लूटूथ ईयरफोन की बिक्री को दर्शाता है।
यदि 2021 से 2022 में बिक्री में 20% की वृद्धि होती है, तो पांच साल की अवधि 2018-2022 की औसत बिक्री ज्ञात करें।",79.45 lakh,79.45 लाख,86.03 lakh,86.03 लाख,92.02 lakh,92.02 लाख,82.16 lakh,82.16 लाख,option_b,,,Computer Science and Information Technology,कंप्यूटर विज्ञान और सूचना प्रौद्योगिकी,,,,,
"A policeman saw a thief at a distance of 150 m. When the policeman started chasing the thief, the thief also started running. If the thief's speed is 18 km/h and the policeman's speed is 36 km/h, how far would the thief have run before being caught?","किसी चोर को एक पुलिसकर्मी ने 150 m की दूरी से देखा। जब पुलिसकर्मी ने चोर का पीछा करना शुरू किया, तो चोर भी भागने लगा। यदि चोर की चाल 18 km/h है और पुलिसकर्मी की चाल 36 km/h है, तो पकड़े जाने से पहले चोर कितनी दूरी भाग चुका होगा?",100 m,100 m,120 m,120 m,150 m,150 m,130 m,130 m,option_c,,,Computer Science and Information Technology,कंप्यूटर विज्ञान और सूचना प्रौद्योगिकी,,,,,
S can finish a work in 20 days. S works for 4 days and then R joins S in the work and the remaining work is completed in 7 days. In how many days can R alone finish that work?,"S एक कार्य को 20 दिनों में समाप्त कर सकता है। S, 4 दिनों तक कार्य करता है और फिर R, S के साथ कार्य में लग जाता है और शेष कार्य 7 दिनों में समाप्त हो जाता है। R अकेला उस कार्य को कितने दिनों में समाप्त कर सकता है?",140/9,140/9,130/7,130/7,130/9,130/9,120/7,120/7,option_a,,,Computer Science and Information Technology,कंप्यूटर विज्ञान और सूचना प्रौद्योगिकी,,,,,
"The radius of a solid iron hemisphere is 42 cm. Find its volume (in cm³).
(Use π = 22/7)","लोहे के एक ठोस अर्धगोले की त्रिज्या 42 cm है। इसका आयतन (cm³ में) ज्ञात करें।
(π = 22/7 का प्रयोग करें)",155232,155232,151232,151232,152232,152232,156232,156232,option_a,,,Computer Science and Information Technology,कंप्यूटर विज्ञान और सूचना प्रौद्योगिकी,,,,,
A cylinder of radius 7 cm and height 10 cm is cut horizontally into two equal parts to obtain two identical cylinders. What is the percentage increase in the total surface area?,त्रिज्या 7 cm और ऊंचाई 10 cm के एक बेलन को दो समान बेलन प्राप्त करने के लिए क्षैतिज रूप से दो बराबर भागों में काटा जाता है। कुल पृष्ठीय क्षेत्रफल में प्रतिशत वृद्धि क्या है?,29.43%,29.43%,38.23%,38.23%,41.18%,41.18%,34.29%,34.29%,option_c,,,Computer Science and Information Technology,कंप्यूटर विज्ञान और सूचना प्रौद्योगिकी,,,,,
"A shopkeeper bought a scooter for ₹24,000 and a car for ₹2,40,000. He sold the scooter at a loss of 25% and the car at a profit of 10%. Find his net profit or loss percentage.","एक दुकानदार ने ₹24,000 में एक स्कूटर और ₹2,40,000 में एक कार खरीदी। उसने स्कूटर को 25% की हानि पर और कार को 10% के लाभ पर बेचा। उसका शुद्ध लाभ या हानि प्रतिशत ज्ञात करें।",6 9/11% profit,6 9/11% लाभ,6% profit,6% लाभ,7% loss,7% हानि,7 9/11% loss,7 9/11% हानि,option_a,,,Computer Science and Information Technology,कंप्यूटर विज्ञान और सूचना प्रौद्योगिकी,,,,,
"ABC and PQR are two similar triangles in which C = R and whose areas are 48 cm² and 64 cm² respectively. If PQ = 8 cm, what is the value of AB?","ABC और PQR दो समरूप त्रिभुज हैं, जिनमें C = R है और जिनके क्षेत्रफल क्रमशः 48 cm² और 64 cm² हैं। यदि PQ = 8 cm है, तो AB का मान क्या है?",7 cm,7 cm,√56 cm,√56 cm,√48 cm,√48 cm,9 cm,9 cm,option_c,,,Computer Science and Information Technology,कंप्यूटर विज्ञान और सूचना प्रौद्योगिकी,,,,,
"Two men A and B travel a distance of 42 km from place X to place Y at speeds of 6 km/h and 8 km/h respectively. B reaches Y, returns immediately and meets A at place Z. Find the distance from X to Z.","दो पुरुष A और B क्रमशः 6 km/h और 8 km/h की चाल से से X स्थान से Y स्थान तक 42 km की दूरी तय करते हैं। B, Y पर पहुंचता है, तुरंत लौटता है और A से Z स्थान पर मिलता है। X से Z की दूरी ज्ञात कीजिए।",64 km,64 km,63 km,63 km,36 km,36 km,18 km,18 km,option_c,,,Computer Science and Information Technology,कंप्यूटर विज्ञान और सूचना प्रौद्योगिकी,,,,,
"A shopping mall offered customers the following discount schemes.
Scheme-1: Two successive discounts of 15%.
Scheme-2: 20% discount followed by 10% discount.
Scheme-3: Successive discounts of 17% and 13%.
Scheme-4: 30% discount
Under which of the given schemes will the selling price be the lowest?","एक शॉपिंग मॉल ने ग्राहकों को छूट की निम्न स्कीमें प्रदान की।
स्कीम-1: 15% की दो क्रमागत छूटें।
स्कीम-2: 20% छूट के बाद 10% छूट।
स्कीम-3: 17% और 13% के क्रमागत छूटें।
स्कीम-4: 30% छूट
दी गई स्कीमों में से किस स्कीम के तहत विक्रय मूल्य न्यूनतम होगा?",Scheme-4,स्कीम- 4,Scheme-3,स्कीम- 3,Scheme-1,स्कीम- 1,Scheme-2,स्कीम- 2,option_a,,,Computer Science and Information Technology,कंप्यूटर विज्ञान और सूचना प्रौद्योगिकी,,,,,
"The following pie chart shows the time spent by a person throughout a day (24 hours).
Approximately how many degrees should the central angle of the Rest sector be?","निम्नलिखित पाई-चार्ट में एक व्यक्ति द्वारा पूरे दिन (24 घंटे) में बिताए गए समय को दर्शाया गया है।
आराम (Rest) त्रिज्यखंड का केंद्रीय कोण लगभग कितनी डिग्री का होना चाहिए?",111°,111°,92°,92°,122°,122°,102°,102°,option_c,,,Computer Science and Information Technology,कंप्यूटर विज्ञान और सूचना प्रौद्योगिकी,,,,,
Which of the following has the greatest number of factors?,निम्नलिखित में से किसके भाजक सबसे अधिक है?,91,91,112,112,84,84,216,216,option_d,,,Computer Science and Information Technology,कंप्यूटर विज्ञान और सूचना प्रौद्योगिकी,,,,,
"In an election between two candidates A and B, A received 60% of the total valid votes. Find the number of valid votes cast in favour of candidate B if 15% of the total 5,00,000 votes were declared invalid.","दो उम्मीदवारों A और B के बीच एक चुनाव में, A ने कुल वैध मतों का 60% प्राप्त किया। उम्मीदवार B के पक्ष में डाले गए वैध मतों की संख्या ज्ञात कीजिए, यदि कुल 5,00,000 मतों में से 15% अवैध घोषित किए गए थे।","1,62,000","1,62,000","1,70,000","1,70,000","1,73,000","1,73,000","1,81,200","1,81,200",option_b,,,Computer Science and Information Technology,कंप्यूटर विज्ञान और सूचना प्रौद्योगिकी,,,,,
"A trader has 162 kg of walnuts, a part of which he sells at 7% profit and the rest at 16% profit. He earns a profit of 12% on the whole transaction. What quantity was sold at 16% profit?","एक व्यापारी के पास 162 kg वाल नट हैं, जिसका एक भाग वह 7% लाभ पर और शेष 16% लाभ पर बेचता है। उसे पूरे लेनदेन पर 12% का लाभ होता है। 16% लाभ पर बेची गई मात्रा क्या है?",90 kg,90 kg,85 kg,85 kg,75 kg,75 kg,102 kg,102 kg,option_a,,,Computer Science and Information Technology,कंप्यूटर विज्ञान और सूचना प्रौद्योगिकी,,,,,
"If x⁴ + (1/x⁴) = 322 and x > 1, what is the value of x³ − (1/x³)?","यदि x⁴ + (1/x⁴) = 322 और x > 1 है, तो x³ − (1/x³) का मान क्या है?",76,76,74,74,78,78,72,72,option_a,,,Computer Science and Information Technology,कंप्यूटर विज्ञान और सूचना प्रौद्योगिकी,,,,,
"A person covers half his journey by train at 70 km/h, half of the remaining journey by bus at 40 km/h and the remaining journey by bicycle at 10 km/h. Find his average speed during the entire journey.","एक व्यक्ति अपनी आधी यात्रा 70 km/h की चाल से ट्रेन द्वारा, शेष यात्रा का आधा 40 km/h की चाल से बस द्वारा और शेष यात्रा 10 km/h की चाल से साइकिल द्वारा तय करता है। पूरी यात्रा के दौरान उसकी औसत चाल ज्ञात कीजिए।",20.65 km/h,20.65 km/h,41.67 km/h,41.67 km/h,26.05 km/h,26.05 km/h,47.5 km/h,47.5 km/h,option_c,,,Computer Science and Information Technology,कंप्यूटर विज्ञान और सूचना प्रौद्योगिकी,,,,,
Select the prime number from the given options.,दिए गए विकल्पों में से अभाज्य संख्या का चयन कीजिए।,121,121,343,343,289,289,113,113,option_d,,,Computer Science and Information Technology,कंप्यूटर विज्ञान और सूचना प्रौद्योगिकी,,,,,
"In an election between two candidates, the first receives 85% of the total valid votes. If 10% of 1,35,000 votes are invalid, how many votes were cast in favour of the second candidate?","दो उम्मीदवारों के बीच एक चुनाव में पहले को कुल वैध मतों का 85% प्राप्त होता है। यदि 1,35,000 मतों में से 10% मत अवैध हैं, तो दूसरे उम्मीदवार के पक्ष में कितने मत पड़े?",16425,16425,23435,23435,18225,18225,21485,21485,option_c,,,Computer Science and Information Technology,कंप्यूटर विज्ञान और सूचना प्रौद्योगिकी,,,,,
"If 2a - 3b = 8 and ab = 3, find the value of 4a² + 9b².","यदि 2a - 3b = 8 और ab = 3 है, तो 4a² + 9b² का मान ज्ञात कीजिए।",80,80,125,125,110,110,100,100,option_d,,,Computer Science and Information Technology,कंप्यूटर विज्ञान और सूचना प्रौद्योगिकी,,,,,
"The population of a city is increasing at an annual rate of 2%. If the current population of the city is 1 lakh, what will its population be after 2 years?","एक शहर की जनसंख्या 2% की वार्षिक दर से बढ़ रही है। यदि शहर की वर्तमान जनसंख्या 1 लाख है, तो 2 वर्ष बाद जनसंख्या कितनी होगी?","1,02,000","1,02,000","1,04,000","1,04,000","1,02,100","1,02,100","1,04,040","1,04,040",option_d,,,Computer Science and Information Technology,कंप्यूटर विज्ञान और सूचना प्रौद्योगिकी,,,,,
